Code BBUSD1M BBUSD2M BBUSD3M BBUSD4M BBUSD5M BBUSD6M BBUSD7M BBUSD8M BBUSD9M BBUSD10 BBUSD11 BBUSD12
Currency U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$
31-01-86 8.06250 8.06250 8.06250 8.06250 8.09375 8.12500 8.12500 8.12500 8.18750 8.18750 8.25000 8.25000
28-02-86 7.93750 7.93750 7.87500 7.87500 7.87500 7.87500 7.87500 7.87500 7.87500 7.93750 7.93750 7.93750
31-03-86 7.50000 7.50000 7.43750 7.43750 7.43750 7.43750 7.43750 7.43750 7.43750 7.43750 7.43750 7.43750
30-04-86 6.93750 6.93750 6.87500 6.87500 6.87500 6.87500 6.87500 6.87500 6.93750 6.93750 6.93750 6.93750
30-05-86 7.12500 7.12500 7.12500 7.12500 7.18750 7.18750 7.18750 7.25000 7.31250 7.31250 7.37500 7.37500
30-06-86 7.03125 6.93750 6.87500 6.87500 6.87500 6.87500 6.87500 6.87500 6.93750 6.93750 6.93750 6.93750
31-07-86 6.56250 6.56250 6.56250 6.56250 6.56250 6.56250 6.56250 6.56250 6.62500 6.62500 6.64063 6.68750
29-08-86 5.93750 5.87500 5.81250 5.75000 5.75000 5.75000 5.75000 5.78125 5.81250 5.81250 5.81250 5.87500
30-09-86 6.12500 6.12500 6.12500 6.12500 6.12500 6.12500 6.18750 6.18750 6.25000 6.25000 6.31250 6.31250
31-10-86 5.93750 5.93750 5.93750 5.93750 5.93750 5.93750 5.93750 5.93750 6.00000 6.00000 6.00000 6.04688
28-11-86 6.37500 6.18750 6.12500 6.07813 6.06250 6.06250 6.06250 6.07813 6.12500 6.12500 6.12500 6.12500
31-12-86 6.75000 6.50000 6.43750 6.37500 6.32813 6.31250 6.31250 6.31250 6.31250 6.31250 6.31250 6.31250
30-01-87 6.20313 6.25000 6.25000 6.23438 6.23438 6.23438 6.25000 6.25000 6.25000 6.25000 6.25000 6.25000
27-02-87 6.46875 6.43750 6.43750 6.43750 6.43750 6.43750 6.43750 6.43750 6.50000 6.50000 6.50000 6.56250
31-03-87 6.57813 6.62500 6.68750 6.68750 6.68750 6.68750 6.68750 6.68750 6.75000 6.75000 6.81250 6.81250
30-04-87 6.81250 7.00000 7.12500 7.25000 7.31250 7.37500 7.43750 7.56250 7.62500 7.68750 7.75000 7.81250
29-05-87 7.18750 7.25000 7.37500 7.43750 7.56250 7.62500 7.75000 7.87500 7.93750 8.00000 8.06250 8.06250
30-06-87 7.06250 7.12500 7.18750 7.25000 7.31250 7.37500 7.43750 7.50000 7.56250 7.62500 7.68750 7.75000
31-07-87 6.75000 6.93750 7.00000 7.06250 7.18750 7.25000 7.31250 7.37500 7.43750 7.50000 7.62500 7.68750
31-08-87 7.12500 7.15625 7.18750 7.34375 7.40625 7.43750 7.54688 7.62500 7.68750 7.76563 7.87500 7.93750
30-09-87 7.75000 7.87500 8.37500 8.37500 8.43750 8.50000 8.60938 8.73438 8.81250 8.87500 8.93750 9.00000
30-10-87 7.12500 7.62500 7.62500 7.62500 7.62500 7.62500 7.68750 7.75000 7.81250 7.87500 7.93750 8.00000
30-11-87 8.18750 8.06250 8.00000 8.00000 8.00000 8.06250 8.12500 8.17188 8.18750 8.25000 8.25000 8.31250
31-12-87 7.12500 7.31250 7.43750 7.43750 7.50000 8.06250 7.56250 7.62500 7.68750 7.75000 7.81250 7.87500
29-01-88 6.81250 6.87500 6.93750 6.93750 7.00000 7.01563 7.07813 7.15625 7.18750 7.25000 7.31250 7.37500
29-02-88 6.81250 6.81250 6.81250 6.87500 6.93750 6.93750 7.00000 7.06250 7.12500 7.18750 7.18750 7.25000
